VP,VB,Geschlecht,Produkt,Frage,Antwort_1,Antwort_2,Antwort_3,Antwort_4,Antwort_5,Antwort_6,Antwort_7,Antwort_8,Antwort_9,Antwort_10
3,Ökologisch,w,P3,B1_Welche Infos,,,,,,,,,,
3,Ökologisch,w,P4,B1_Welche Infos,Funktionsweise,Preis,,,,,,,,
3,Ökologisch,w,P5,B1_Welche Infos,Inhaltsstoffe+Materialien ,,,,,,,,,
3,Ökologisch,w,P6,B1_Welche Infos,,,,,,,,,,
3,Ökologisch,w,P7,B1_Welche Infos,,,,,,,,,,
4,Ökonomisch,w,A1,B1_Welche Infos,,,,,,,,,,
4,Ökonomisch,w,A2,B1_Welche Infos,Herstellung,Herstellung,Praktikabilität,Praktikabilität,Praktikabilität,Praktikabilität,Praktikabilität,Sensorische Wahrnehmung,,
4,Ökonomisch,w,A3,B1_Welche Infos,Praktikabilität,Inhaltsstoffe+Materialien ,Praktikabilität,,,,,,,
4,Ökonomisch,w,A4,B1_Welche Infos,Funktionsweise,Herstellung,Praktikabilität,Praktikabilität,Allg. Interesse,,,,,
4,Ökonomisch,w,A5,B1_Welche Infos,Praktikabilität,Sensorische Wahrnehmung,Sensorische Wahrnehmung,Sensorische Wahrnehmung,Funktionsweise,,,,,
4,Ökonomisch,w,A6,B1_Welche Infos,Praktikabilität,Nachhaltigkeit+Ethik,,,,,,,,
4,Ökonomisch,w,A7,B1_Welche Infos,Inhaltsstoffe+Materialien ,Herstellung,Inhaltsstoffe+Materialien ,Praktikabilität,Hygiene+Gesundheit,Hygiene+Gesundheit,Allg. Interesse,,,
4,Ökonomisch,w,P1,B1_Welche Infos,,,,,,,,,,
4,Ökonomisch,w,P2,B1_Welche Infos,Praktikabilität,Hygiene+Gesundheit,Nachhaltigkeit+Ethik,,,,,,,
4,Ökonomisch,w,P3,B1_Welche Infos,,,,,,,,,,
4,Ökonomisch,w,P4,B1_Welche Infos,,,,,,,,,,
4,Ökonomisch,w,P5,B1_Welche Infos,,,,,,,,,,
4,Ökonomisch,w,P6,B1_Welche Infos,,,,,,,,,,
4,Ökonomisch,w,P7,B1_Welche Infos,,,,,,,,,,
5,Ökologisch,w,A1,B1_Welche Infos,Inhaltsstoffe+Materialien ,,,,,,,,,
5,Ökologisch,w,A2,B1_Welche Infos,,,,,,,,,,
5,Ökologisch,w,A3,B1_Welche Infos,,,,,,,,,,
5,Ökologisch,w,A4,B1_Welche Infos,Allg. Interesse,Funktionsweise,Praktikabilität,,,,,,,
5,Ökologisch,w,A5,B1_Welche Infos,,,,,,,,,,
5,Ökologisch,w,A6,B1_Welche Infos,,,,,,,,,,
5,Ökologisch,w,A7,B1_Welche Infos,,,,,,,,,,
5,Ökologisch,w,P1,B1_Welche Infos,,,,,,,,,,
5,Ökologisch,w,P2,B1_Welche Infos,,,,,,,,,,
5,Ökologisch,w,P3,B1_Welche Infos,,,,,,,,,,
5,Ökologisch,w,P4,B1_Welche Infos,,,,,,,,,,
5,Ökologisch,w,P5,B1_Welche Infos,,,,,,,,,,
5,Ökologisch,w,P6,B1_Welche Infos,,,,,,,,,,
5,Ökologisch,w,P7,B1_Welche Infos,,,,,,,,,,
6,Ökonomisch,w,A1,B1_Welche Infos,Hygiene+Gesundheit,,,,,,,,,
6,Ökonomisch,w,A2,B1_Welche Infos,Herstellung,Inhaltsstoffe+Materialien ,,,,,,,,
6,Ökonomisch,w,A3,B1_Welche Infos,Inhaltsstoffe+Materialien ,,,,,,,,,
6,Ökonomisch,w,A4,B1_Welche Infos,Funktionsweise,Praktikabilität,,,,,,,,
6,Ökonomisch,w,A5,B1_Welche Infos,,,,,,,,,,
6,Ökonomisch,w,A6,B1_Welche Infos,,,,,,,,,,
6,Ökonomisch,w,A7,B1_Welche Infos,Inhaltsstoffe+Materialien ,,,,,,,,,
6,Ökonomisch,w,P1,B1_Welche Infos,,,,,,,,,,
6,Ökonomisch,w,P2,B1_Welche Infos,,,,,,,,,,
6,Ökonomisch,w,P3,B1_Welche Infos,,,,,,,,,,
6,Ökonomisch,w,P4,B1_Welche Infos,,,,,,,,,,
6,Ökonomisch,w,P5,B1_Welche Infos,,,,,,,,,,
6,Ökonomisch,w,P6,B1_Welche Infos,,,,,,,,,,
6,Ökonomisch,w,P7,B1_Welche Infos,,,,,,,,,,
7,Ökologisch,w,A1,B1_Welche Infos,Inhaltsstoffe+Materialien ,,,,,,,,,
7,Ökologisch,w,A2,B1_Welche Infos,,,,,,,,,,
7,Ökologisch,w,A3,B1_Welche Infos,Nachhaltigkeit+Ethik,,,,,,,,,
7,Ökologisch,w,A4,B1_Welche Infos,Praktikabilität,,,,,,,,,
7,Ökologisch,w,A5,B1_Welche Infos,Funktionsweise,,,,,,,,,
7,Ökologisch,w,A6,B1_Welche Infos,Nachhaltigkeit+Ethik,,,,,,,,,
7,Ökologisch,w,A7,B1_Welche Infos,,,,,,,,,,
7,Ökologisch,w,P1,B1_Welche Infos,,,,,,,,,,
7,Ökologisch,w,P2,B1_Welche Infos,Nachhaltigkeit+Ethik,Nachhaltigkeit+Ethik,,,,,,,,
7,Ökologisch,w,P3,B1_Welche Infos,,,,,,,,,,
7,Ökologisch,w,P4,B1_Welche Infos,,,,,,,,,,
7,Ökologisch,w,P5,B1_Welche Infos,,,,,,,,,,
7,Ökologisch,w,P6,B1_Welche Infos,,,,,,,,,,
7,Ökologisch,w,P7,B1_Welche Infos,Hygiene+Gesundheit,,,,,,,,,
8,Ökonomisch,w,A1,B1_Welche Infos,,,,,,,,,,
8,Ökonomisch,w,A2,B1_Welche Infos,,,,,,,,,,
8,Ökonomisch,w,A3,B1_Welche Infos,,,,,,,,,,
8,Ökonomisch,w,A4,B1_Welche Infos,Funktionsweise,Praktikabilität,,,,,,,,
8,Ökonomisch,w,A5,B1_Welche Infos,Funktionsweise,Herstellung,,,,,,,,
8,Ökonomisch,w,A6,B1_Welche Infos,Hygiene+Gesundheit,Praktikabilität,,,,,,,,
8,Ökonomisch,w,A7,B1_Welche Infos,Herstellung,Praktikabilität,Inhaltsstoffe+Materialien ,,,,,,,
8,Ökonomisch,w,P1,B1_Welche Infos,,,,,,,,,,
8,Ökonomisch,w,P2,B1_Welche Infos,,,,,,,,,,
8,Ökonomisch,w,P3,B1_Welche Infos,,,,,,,,,,
8,Ökonomisch,w,P4,B1_Welche Infos,,,,,,,,,,
8,Ökonomisch,w,P5,B1_Welche Infos,,,,,,,,,,
8,Ökonomisch,w,P6,B1_Welche Infos,,,,,,,,,,
8,Ökonomisch,w,P7,B1_Welche Infos,,,,,,,,,,
9,Ökologisch,w,A1,B1_Welche Infos,,,,,,,,,,
9,Ökologisch,w,A2,B1_Welche Infos,,,,,,,,,,
9,Ökologisch,w,A3,B1_Welche Infos,,,,,,,,,,
9,Ökologisch,w,A4,B1_Welche Infos,,,,,,,,,,
9,Ökologisch,w,A5,B1_Welche Infos,,,,,,,,,,
9,Ökologisch,w,A6,B1_Welche Infos,,,,,,,,,,
9,Ökologisch,w,A7,B1_Welche Infos,,,,,,,,,,
9,Ökologisch,w,P1,B1_Welche Infos,,,,,,,,,,
9,Ökologisch,w,P2,B1_Welche Infos,,,,,,,,,,
9,Ökologisch,w,P3,B1_Welche Infos,,,,,,,,,,
9,Ökologisch,w,P4,B1_Welche Infos,,,,,,,,,,
9,Ökologisch,w,P5,B1_Welche Infos,,,,,,,,,,
9,Ökologisch,w,P6,B1_Welche Infos,,,,,,,,,,
9,Ökologisch,w,P7,B1_Welche Infos,,,,,,,,,,
10,Ökologisch,w,A1,B1_Welche Infos,Inhaltsstoffe+Materialien ,,,,,,,,,
10,Ökologisch,w,A2,B1_Welche Infos,,,,,,,,,,
10,Ökologisch,w,A3,B1_Welche Infos,,,,,,,,,,
10,Ökologisch,w,A4,B1_Welche Infos,,,,,,,,,,
10,Ökologisch,w,A5,B1_Welche Infos,,,,,,,,,,
10,Ökologisch,w,A6,B1_Welche Infos,Hygiene+Gesundheit,Praktikabilität,,,,,,,,
10,Ökologisch,w,A7,B1_Welche Infos,,,,,,,,,,
10,Ökologisch,w,P1,B1_Welche Infos,,,,,,,,,,
10,Ökologisch,w,P2,B1_Welche Infos,,,,,,,,,,
10,Ökologisch,w,P3,B1_Welche Infos,,,,,,,,,,
10,Ökologisch,w,P4,B1_Welche Infos,,,,,,,,,,
10,Ökologisch,w,P5,B1_Welche Infos,,,,,,,,,,
10,Ökologisch,w,P6,B1_Welche Infos,,,,,,,,,,
10,Ökologisch,w,P7,B1_Welche Infos,,,,,,,,,,
11,Ökonomisch,w,A1,B1_Welche Infos,,,,,,,,,,
11,Ökonomisch,w,A2,B1_Welche Infos,,,,,,,,,,
11,Ökonomisch,w,A3,B1_Welche Infos,,,,,,,,,,
11,Ökonomisch,w,A4,B1_Welche Infos,,,,,,,,,,
11,Ökonomisch,w,A5,B1_Welche Infos,Funktionsweise,,,,,,,,,
11,Ökonomisch,w,A6,B1_Welche Infos,,,,,,,,,,
11,Ökonomisch,w,A7,B1_Welche Infos,,,,,,,,,,
11,Ökonomisch,w,P1,B1_Welche Infos,,,,,,,,,,
11,Ökonomisch,w,P2,B1_Welche Infos,,,,,,,,,,
11,Ökonomisch,w,P3,B1_Welche Infos,,,,,,,,,,
11,Ökonomisch,w,P4,B1_Welche Infos,,,,,,,,,,
11,Ökonomisch,w,P5,B1_Welche Infos,,,,,,,,,,
11,Ökonomisch,w,P6,B1_Welche Infos,,,,,,,,,,
11,Ökonomisch,w,P7,B1_Welche Infos,,,,,,,,,,
12,Ökologisch,w,A1,B1_Welche Infos,,,,,,,,,,
12,Ökologisch,w,A2,B1_Welche Infos,Praktikabilität,,,,,,,,,
12,Ökologisch,w,A3,B1_Welche Infos,Sensorische Wahrnehmung,,,,,,,,,
12,Ökologisch,w,A4,B1_Welche Infos,,,,,,,,,,
12,Ökologisch,w,A5,B1_Welche Infos,Allg. Interesse,,,,,,,,,
12,Ökologisch,w,A6,B1_Welche Infos,Herstellung,,,,,,,,,
12,Ökologisch,w,A7,B1_Welche Infos,,,,,,,,,,
12,Ökologisch,w,P1,B1_Welche Infos,,,,,,,,,,
12,Ökologisch,w,P2,B1_Welche Infos,,,,,,,,,,
12,Ökologisch,w,P3,B1_Welche Infos,,,,,,,,,,
12,Ökologisch,w,P4,B1_Welche Infos,Funktionsweise,Allg. Interesse,,,,,,,,
12,Ökologisch,w,P5,B1_Welche Infos,,,,,,,,,,
12,Ökologisch,w,P6,B1_Welche Infos,,,,,,,,,,
12,Ökologisch,w,P7,B1_Welche Infos,Herstellung,,,,,,,,,
13,Ökonomisch,w,A1,B1_Welche Infos,Inhaltsstoffe+Materialien ,,,,,,,,,
13,Ökonomisch,w,A2,B1_Welche Infos,,,,,,,,,,
13,Ökonomisch,w,A3,B1_Welche Infos,Praktikabilität,,,,,,,,,
13,Ökonomisch,w,A4,B1_Welche Infos,Praktikabilität,Funktionsweise,,,,,,,,
13,Ökonomisch,w,A5,B1_Welche Infos,,,,,,,,,,
13,Ökonomisch,w,A6,B1_Welche Infos,Hygiene+Gesundheit,,,,,,,,,
13,Ökonomisch,w,A7,B1_Welche Infos,Funktionsweise,Inhaltsstoffe+Materialien ,,,,,,,,
13,Ökonomisch,w,P1,B1_Welche Infos,,,,,,,,,,
13,Ökonomisch,w,P2,B1_Welche Infos,,,,,,,,,,
13,Ökonomisch,w,P3,B1_Welche Infos,,,,,,,,,,
13,Ökonomisch,w,P4,B1_Welche Infos,,,,,,,,,,
13,Ökonomisch,w,P5,B1_Welche Infos,,,,,,,,,,
13,Ökonomisch,w,P6,B1_Welche Infos,,,,,,,,,,
13,Ökonomisch,w,P7,B1_Welche Infos,Inhaltsstoffe+Materialien ,,,,,,,,,
14,Ökologisch,w,A1,B1_Welche Infos,,,,,,,,,,
14,Ökologisch,w,A2,B1_Welche Infos,Hygiene+Gesundheit,,,,,,,,,
14,Ökologisch,w,A3,B1_Welche Infos,,,,,,,,,,
14,Ökologisch,w,A4,B1_Welche Infos,Allg. Interesse,Praktikabilität,,,,,,,,
14,Ökologisch,w,A5,B1_Welche Infos,Inhaltsstoffe+Materialien ,Nachhaltigkeit+Ethik,Praktikabilität,,,,,,,
14,Ökologisch,w,A6,B1_Welche Infos,Sensorische Wahrnehmung,Praktikabilität,,,,,,,,
14,Ökologisch,w,A7,B1_Welche Infos,Funktionsweise,Praktikabilität,,,,,,,,
14,Ökologisch,w,P1,B1_Welche Infos,,,,,,,,,,
14,Ökologisch,w,P2,B1_Welche Infos,,,,,,,,,,
14,Ökologisch,w,P3,B1_Welche Infos,Inhaltsstoffe+Materialien ,,,,,,,,,
14,Ökologisch,w,P4,B1_Welche Infos,,,,,,,,,,
14,Ökologisch,w,P5,B1_Welche Infos,,,,,,,,,,
14,Ökologisch,w,P6,B1_Welche Infos,,,,,,,,,,
14,Ökologisch,w,P7,B1_Welche Infos,,,,,,,,,,
15,Ökonomisch,w,A1,B1_Welche Infos,,,,,,,,,,
15,Ökonomisch,w,A2,B1_Welche Infos,,,,,,,,,,
15,Ökonomisch,w,A3,B1_Welche Infos,,,,,,,,,,
15,Ökonomisch,w,A4,B1_Welche Infos,,,,,,,,,,
15,Ökonomisch,w,A5,B1_Welche Infos,,,,,,,,,,
15,Ökonomisch,w,A6,B1_Welche Infos,,,,,,,,,,
15,Ökonomisch,w,A7,B1_Welche Infos,Inhaltsstoffe+Materialien ,,,,,,,,,
15,Ökonomisch,w,P1,B1_Welche Infos,,,,,,,,,,
15,Ökonomisch,w,P2,B1_Welche Infos,,,,,,,,,,
15,Ökonomisch,w,P3,B1_Welche Infos,,,,,,,,,,
15,Ökonomisch,w,P4,B1_Welche Infos,,,,,,,,,,
15,Ökonomisch,w,P5,B1_Welche Infos,,,,,,,,,,
15,Ökonomisch,w,P6,B1_Welche Infos,,,,,,,,,,
15,Ökonomisch,w,P7,B1_Welche Infos,Inhaltsstoffe+Materialien ,,,,,,,,,
16,Ökonomisch,w,A1,B1_Welche Infos,Inhaltsstoffe+Materialien ,Inhaltsstoffe+Materialien ,,,,,,,,
16,Ökonomisch,w,A2,B1_Welche Infos,,,,,,,,,,
16,Ökonomisch,w,A3,B1_Welche Infos,Praktikabilität,,,,,,,,,
16,Ökonomisch,w,A4,B1_Welche Infos,Allg. Interesse,Praktikabilität,,,,,,,,
16,Ökonomisch,w,A5,B1_Welche Infos,Funktionsweise,Praktikabilität,,,,,,,,
16,Ökonomisch,w,A6,B1_Welche Infos,Praktikabilität,Inhaltsstoffe+Materialien ,,,,,,,,
16,Ökonomisch,w,A7,B1_Welche Infos,Praktikabilität,Herstellung,Inhaltsstoffe+Materialien ,,,,,,,
16,Ökonomisch,w,P1,B1_Welche Infos,,,,,,,,,,
16,Ökonomisch,w,P2,B1_Welche Infos,,,,,,,,,,
16,Ökonomisch,w,P3,B1_Welche Infos,,,,,,,,,,
16,Ökonomisch,w,P4,B1_Welche Infos,Funktionsweise,,,,,,,,,
16,Ökonomisch,w,P5,B1_Welche Infos,Inhaltsstoffe+Materialien ,Inhaltsstoffe+Materialien ,,,,,,,,
16,Ökonomisch,w,P6,B1_Welche Infos,,,,,,,,,,
16,Ökonomisch,w,P7,B1_Welche Infos,Nachhaltigkeit+Ethik,Nachhaltigkeit+Ethik,,,,,,,,
17,Ökonomisch,w,A1,B1_Welche Infos,,,,,,,,,,
17,Ökonomisch,w,A2,B1_Welche Infos,,,,,,,,,,
17,Ökonomisch,w,A3,B1_Welche Infos,,,,,,,,,,
17,Ökonomisch,w,A4,B1_Welche Infos,Allg. Interesse,,,,,,,,,
17,Ökonomisch,w,A5,B1_Welche Infos,Funktionsweise,Inhaltsstoffe+Materialien ,,,,,,,,
17,Ökonomisch,w,A6,B1_Welche Infos,,,,,,,,,,
17,Ökonomisch,w,A7,B1_Welche Infos,,,,,,,,,,
17,Ökonomisch,w,P1,B1_Welche Infos,,,,,,,,,,
17,Ökonomisch,w,P2,B1_Welche Infos,Herstellung,Nachhaltigkeit+Ethik,,,,,,,,
17,Ökonomisch,w,P3,B1_Welche Infos,Inhaltsstoffe+Materialien ,,,,,,,,,
17,Ökonomisch,w,P4,B1_Welche Infos,,,,,,,,,,
17,Ökonomisch,w,P5,B1_Welche Infos,,,,,,,,,,
17,Ökonomisch,w,P6,B1_Welche Infos,,,,,,,,,,
17,Ökonomisch,w,P7,B1_Welche Infos,Nachhaltigkeit+Ethik,,,,,,,,,
18,Ökologisch,w,A1,B1_Welche Infos,Inhaltsstoffe+Materialien ,Herstellung,,,,,,,,
18,Ökologisch,w,A2,B1_Welche Infos,Inhaltsstoffe+Materialien ,,,,,,,,,
18,Ökologisch,w,A3,B1_Welche Infos,Praktikabilität,,,,,,,,,
18,Ökologisch,w,A4,B1_Welche Infos,Praktikabilität,,,,,,,,,
18,Ökologisch,w,A5,B1_Welche Infos,Inhaltsstoffe+Materialien ,Funktionsweise,Hygiene+Gesundheit,,,,,,,
18,Ökologisch,w,A6,B1_Welche Infos,,,,,,,,,,
18,Ökologisch,w,A7,B1_Welche Infos,Allg. Interesse,Inhaltsstoffe+Materialien ,,,,,,,,
18,Ökologisch,w,P1,B1_Welche Infos,,,,,,,,,,
18,Ökologisch,w,P2,B1_Welche Infos,,,,,,,,,,
18,Ökologisch,w,P3,B1_Welche Infos,,,,,,,,,,
18,Ökologisch,w,P4,B1_Welche Infos,,,,,,,,,,
18,Ökologisch,w,P5,B1_Welche Infos,,,,,,,,,,
18,Ökologisch,w,P6,B1_Welche Infos,,,,,,,,,,
18,Ökologisch,w,P7,B1_Welche Infos,,,,,,,,,,
19,Ökologisch,w,A1,B1_Welche Infos,,,,,,,,,,
19,Ökologisch,w,A2,B1_Welche Infos,,,,,,,,,,
19,Ökologisch,w,A3,B1_Welche Infos,,,,,,,,,,
19,Ökologisch,w,A4,B1_Welche Infos,Funktionsweise,Nachhaltigkeit+Ethik,Allg. Interesse,,,,,,,
19,Ökologisch,w,A5,B1_Welche Infos,,,,,,,,,,
19,Ökologisch,w,A6,B1_Welche Infos,,,,,,,,,,
19,Ökologisch,w,A7,B1_Welche Infos,,,,,,,,,,
19,Ökologisch,w,P1,B1_Welche Infos,,,,,,,,,,
19,Ökologisch,w,P2,B1_Welche Infos,,,,,,,,,,
19,Ökologisch,w,P3,B1_Welche Infos,,,,,,,,,,
19,Ökologisch,w,P4,B1_Welche Infos,,,,,,,,,,
19,Ökologisch,w,P5,B1_Welche Infos,,,,,,,,,,
19,Ökologisch,w,P6,B1_Welche Infos,,,,,,,,,,
19,Ökologisch,w,P7,B1_Welche Infos,,,,,,,,,,
20,Ökologisch,w,A1,B1_Welche Infos,Inhaltsstoffe+Materialien ,Praktikabilität,,,,,,,,
20,Ökologisch,w,A2,B1_Welche Infos,,,,,,,,,,
20,Ökologisch,w,A3,B1_Welche Infos,Inhaltsstoffe+Materialien ,Praktikabilität,,,,,,,,
20,Ökologisch,w,A4,B1_Welche Infos,Funktionsweise,Praktikabilität,Nachhaltigkeit+Ethik,,,,,,,
20,Ökologisch,w,A5,B1_Welche Infos,Funktionsweise,,,,,,,,,
20,Ökologisch,w,A6,B1_Welche Infos,Praktikabilität,Allg. Interesse,,,,,,,,
20,Ökologisch,w,A7,B1_Welche Infos,Preis,Inhaltsstoffe+Materialien ,,,,,,,,
20,Ökologisch,w,P1,B1_Welche Infos,,,,,,,,,,
20,Ökologisch,w,P2,B1_Welche Infos,,,,,,,,,,
20,Ökologisch,w,P3,B1_Welche Infos,Hygiene+Gesundheit,Hygiene+Gesundheit,,,,,,,,
20,Ökologisch,w,P4,B1_Welche Infos,,,,,,,,,,
20,Ökologisch,w,P5,B1_Welche Infos,Inhaltsstoffe+Materialien ,,,,,,,,,
20,Ökologisch,w,P6,B1_Welche Infos,,,,,,,,,,
20,Ökologisch,w,P7,B1_Welche Infos,,,,,,,,,,
21,Ökologisch,w,A1,B1_Welche Infos,Inhaltsstoffe+Materialien ,Nachhaltigkeit+Ethik,,,,,,,,
21,Ökologisch,w,A2,B1_Welche Infos,Allg. Interesse,,,,,,,,,
21,Ökologisch,w,A3,B1_Welche Infos,Allg. Interesse,,,,,,,,,
21,Ökologisch,w,A4,B1_Welche Infos,Funktionsweise,,,,,,,,,
21,Ökologisch,w,A5,B1_Welche Infos,Nachhaltigkeit+Ethik,,,,,,,,,
21,Ökologisch,w,A6,B1_Welche Infos,,,,,,,,,,
21,Ökologisch,w,A7,B1_Welche Infos,Herstellung,Allg. Interesse,,,,,,,,
21,Ökologisch,w,P1,B1_Welche Infos,Nachhaltigkeit+Ethik,,,,,,,,,
21,Ökologisch,w,P2,B1_Welche Infos,,,,,,,,,,
21,Ökologisch,w,P3,B1_Welche Infos,,,,,,,,,,
21,Ökologisch,w,P4,B1_Welche Infos,,,,,,,,,,
21,Ökologisch,w,P5,B1_Welche Infos,,,,,,,,,,
21,Ökologisch,w,P6,B1_Welche Infos,,,,,,,,,,
21,Ökologisch,w,P7,B1_Welche Infos,,,,,,,,,,
22,Ökonomisch,w,A1,B1_Welche Infos,,,,,,,,,,
22,Ökonomisch,w,A2,B1_Welche Infos,,,,,,,,,,
22,Ökonomisch,w,A3,B1_Welche Infos,,,,,,,,,,
22,Ökonomisch,w,A4,B1_Welche Infos,,,,,,,,,,
22,Ökonomisch,w,A5,B1_Welche Infos,Funktionsweise,,,,,,,,,
22,Ökonomisch,w,A6,B1_Welche Infos,,,,,,,,,,
22,Ökonomisch,w,A7,B1_Welche Infos,Funktionsweise,,,,,,,,,
22,Ökonomisch,w,P1,B1_Welche Infos,,,,,,,,,,
22,Ökonomisch,w,P2,B1_Welche Infos,,,,,,,,,,
22,Ökonomisch,w,P3,B1_Welche Infos,,,,,,,,,,
22,Ökonomisch,w,P4,B1_Welche Infos,Funktionsweise,,,,,,,,,
22,Ökonomisch,w,P5,B1_Welche Infos,,,,,,,,,,
22,Ökonomisch,w,P6,B1_Welche Infos,,,,,,,,,,
22,Ökonomisch,w,P7,B1_Welche Infos,,,,,,,,,,
23,Ökologisch,w,A1,B1_Welche Infos,Nachhaltigkeit+Ethik,Nachhaltigkeit+Ethik,,,,,,,,
23,Ökologisch,w,A2,B1_Welche Infos,Inhaltsstoffe+Materialien ,,,,,,,,,
23,Ökologisch,w,A3,B1_Welche Infos,Hygiene+Gesundheit,,,,,,,,,
23,Ökologisch,w,A4,B1_Welche Infos,Funktionsweise,Allg. Interesse,,,,,,,,
23,Ökologisch,w,A5,B1_Welche Infos,Nachhaltigkeit+Ethik,,,,,,,,,
23,Ökologisch,w,A6,B1_Welche Infos,Praktikabilität,,,,,,,,,
23,Ökologisch,w,A7,B1_Welche Infos,,,,,,,,,,
23,Ökologisch,w,P1,B1_Welche Infos,,,,,,,,,,
23,Ökologisch,w,P2,B1_Welche Infos,,,,,,,,,,
23,Ökologisch,w,P3,B1_Welche Infos,,,,,,,,,,
23,Ökologisch,w,P4,B1_Welche Infos,,,,,,,,,,
23,Ökologisch,w,P5,B1_Welche Infos,Funktionsweise,Allg. Interesse,Funktionsweise,,,,,,,
23,Ökologisch,w,P6,B1_Welche Infos,,,,,,,,,,
23,Ökologisch,w,P7,B1_Welche Infos,,,,,,,,,,
24,Ökonomisch,w,A1,B1_Welche Infos,,,,,,,,,,
24,Ökonomisch,w,A2,B1_Welche Infos,Inhaltsstoffe+Materialien ,Nachhaltigkeit+Ethik,,,,,,,,
24,Ökonomisch,w,A3,B1_Welche Infos,,,,,,,,,,
24,Ökonomisch,w,A4,B1_Welche Infos,Funktionsweise,Praktikabilität,,,,,,,,
24,Ökonomisch,w,A5,B1_Welche Infos,Funktionsweise,,,,,,,,,
24,Ökonomisch,w,A6,B1_Welche Infos,,,,,,,,,,
24,Ökonomisch,w,A7,B1_Welche Infos,Herstellung,Praktikabilität,,,,,,,,
24,Ökonomisch,w,P1,B1_Welche Infos,,,,,,,,,,
24,Ökonomisch,w,P2,B1_Welche Infos,Nachhaltigkeit+Ethik,,,,,,,,,
24,Ökonomisch,w,P3,B1_Welche Infos,,,,,,,,,,
24,Ökonomisch,w,P4,B1_Welche Infos,,,,,,,,,,
24,Ökonomisch,w,P5,B1_Welche Infos,Nachhaltigkeit+Ethik,Nachhaltigkeit+Ethik,,,,,,,,
24,Ökonomisch,w,P6,B1_Welche Infos,,,,,,,,,,
24,Ökonomisch,w,P7,B1_Welche Infos,,,,,,,,,,
25,Ökologisch,w,A1,B1_Welche Infos,Inhaltsstoffe+Materialien ,,,,,,,,,
25,Ökologisch,w,A2,B1_Welche Infos,,,,,,,,,,
25,Ökologisch,w,A3,B1_Welche Infos,Inhaltsstoffe+Materialien ,Inhaltsstoffe+Materialien ,Praktikabilität,Praktikabilität,,,,,,
